CerealName,DietaryFiber,Protein_g,Sodium,Fat,Carbs,Sugars,Potassium,Manufacturer,Calories
Mueslix_Crispy_Blend,3,3,150,2,17,13,160,Kelloggs,160
Just_Right_Fruit_&_Nut,2,3,170,1,20,9,95,Kelloggs,140
Nutri-Grain_Almond-Raisin,3,3,220,2,21,7,130,Kelloggs,140
Total_Raisin_Bran,4,3,190,1,15,14,230,General Mills,140
Basic_4,2,3,210,2,18,8,100,General Mills,130
Oatmeal_Raisin_Crisp,1.5,3,170,2,13.5,10,120,General Mills,130
100%_Natural_Bran,2,3,15,5,8,8,135,Quaker Oats,120
Cap'n'Crunch,0,1,220,2,12,12,35,Quaker Oats,120
Cinnamon_Toast_Crunch,0,1,210,3,13,9,45,General Mills,120
Fruitful_Bran,5,3,240,0,14,12,190,Kelloggs,120
Great_Grains_Pecan,3,3,75,3,13,4,100,Post,120
Honey_Graham_Ohs,1,1,220,2,12,11,45,Quaker Oats,120
Nut&Honey_Crunch,0,2,190,1,15,9,40,Kelloggs,120
Post_Nat._Raisin_Bran,6,3,200,1,11,14,260,Post,120
Raisin_Bran,5,3,210,1,14,12,240,Kelloggs,120
Almond_Delight,1,2,200,2,14,8,-1,Ralston Purina,110
Apple_Cinnamon_Cheerios,1.5,2,180,2,10.5,10,70,General Mills,110
Apple_Jacks,1,2,125,0,11,14,30,Kelloggs,110
Cheerios,2,6,290,2,17,1,105,General Mills,110
Clusters,2,3,140,2,13,7,105,General Mills,110
Cocoa_Puffs,0,1,180,1,12,13,55,General Mills,110
Corn_Chex,0,2,280,0,22,3,25,Ralston Purina,110
Corn_Pops,1,1,90,0,13,12,20,Kelloggs,110
Count_Chocula,0,1,180,1,12,13,65,General Mills,110
Cracklin'_Oat_Bran,4,3,140,3,10,7,160,Kelloggs,110
Crispix,1,2,220,0,21,3,30,Kelloggs,110
Froot_Loops,1,2,125,1,11,13,30,Kelloggs,110
Frosted_Flakes,1,1,200,0,14,11,25,Kelloggs,110
Fruity_Pebbles,0,1,135,1,13,12,25,Post,110
Golden_Grahams,0,1,280,1,15,9,45,General Mills,110
Grape-Nuts,3,3,170,0,17,3,90,Post,110
Honey_Nut_Cheerios,1.5,3,250,1,11.5,10,90,General Mills,110
Honey-comb,0,1,180,0,14,11,35,Post,110
Just_Right_Crunchy__Nuggets,1,2,170,1,17,6,60,Kelloggs,110
Kix,0,2,260,1,21,3,40,General Mills,110
Lucky_Charms,0,2,180,1,12,12,55,General Mills,110
Rice_Chex,0,1,240,0,23,2,30,Ralston Purina,110
Rice_Krispies,0,2,290,0,22,3,35,Kelloggs,110
Smacks,1,2,70,1,9,15,40,Kelloggs,110
Special_K,1,6,230,0,16,3,55,Kelloggs,110
Total_Corn_Flakes,0,2,200,1,21,3,35,General Mills,110
Triples,0,2,250,1,21,3,60,General Mills,110
Trix,0,1,140,1,13,12,25,General Mills,110
Wheaties_Honey_Gold,1,2,200,1,16,8,60,General Mills,110
Corn_Flakes,1,2,290,0,21,2,35,Kelloggs,100
Cream_of_Wheat_(Quick),1,3,80,0,21,0,-1,Nabisco,100
Crispy_Wheat_&_Raisins,2,2,140,1,11,10,120,General Mills,100
Double_Chex,1,2,190,0,18,5,80,Ralston Purina,100
Frosted_Mini-Wheats,3,3,0,0,14,7,100,Kelloggs,100
Golden_Crisp,0,2,45,0,11,15,40,Post,100
Grape_Nuts_Flakes,3,3,140,1,15,5,85,Post,100
Life,2,4,150,2,12,6,95,Quaker Oats,100
Maypo,0,4,0,1,16,3,95,American Home Food Products,100
Multi-Grain_Cheerios,2,2,220,1,15,6,90,General Mills,100
Product_19,1,3,320,0,20,3,45,Kelloggs,100
Quaker_Oat_Squares,2,4,135,1,14,6,110,Quaker Oats,100
Quaker_Oatmeal,2.7,5,0,2,-1,-1,110,Quaker Oats,100
Raisin_Nut_Bran,2.5,3,140,2,10.5,8,140,General Mills,100
Total_Whole_Grain,3,3,200,1,16,3,110,General Mills,100
Wheat_Chex,3,3,230,1,17,3,115,Ralston Purina,100
Wheaties,3,3,200,1,17,3,110,General Mills,100
Bran_Chex,4,2,200,1,15,6,125,Ralston Purina,90
Bran_Flakes,5,3,210,0,13,5,190,Post,90
Nutri-grain_Wheat,3,3,170,0,18,2,90,Kelloggs,90
Raisin_Squares,2,2,0,0,15,6,110,Kelloggs,90
Shredded_Wheat_'n'Bran,4,3,0,0,19,0,140,Nabisco,90
Shredded_Wheat_spoon_size,3,3,0,0,20,0,120,Nabisco,90
Strawberry_Fruit_Wheats,3,2,15,0,15,5,90,Nabisco,90
Shredded_Wheat,3,2,0,0,16,0,95,Nabisco,80
100%_Bran,10,4,130,1,5,6,280,Nabisco,70
All-Bran,9,4,260,1,7,5,320,Kelloggs,70
All-Bran_with_Extra_Fiber,14,4,140,0,8,0,330,Kelloggs,50
Puffed_Rice,0,1,0,0,13,0,15,Quaker Oats,50
Puffed_Wheat,1,2,0,0,10,0,50,Quaker Oats,50
